term,status,repo,branch,commit,path,line_no,role,raw_url,context
structure,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,3,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,Repo.9Dot0 is the first structure-realization field generated from the structure principle formed in Repo.SeungeFlow.
principle,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,3,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,Repo.9Dot0 is the first structure-realization field generated from the structure principle formed in Repo.SeungeFlow.
formed,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,3,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,Repo.9Dot0 is the first structure-realization field generated from the structure principle formed in Repo.SeungeFlow.
in,demoted_common,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,3,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,Repo.9Dot0 is the first structure-realization field generated from the structure principle formed in Repo.SeungeFlow.
Repo.SeungeFlow.,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,3,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,Repo.9Dot0 is the first structure-realization field generated from the structure principle formed in Repo.SeungeFlow.
Repo.SeungeFlow,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,5,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,Repo.SeungeFlow is the formation field of the structure principle.
is,demoted_common,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,5,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,Repo.SeungeFlow is the formation field of the structure principle.
the,demoted_common,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,5,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,Repo.SeungeFlow is the formation field of the structure principle.
formation,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,5,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,Repo.SeungeFlow is the formation field of the structure principle.
field,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,5,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,Repo.SeungeFlow is the formation field of the structure principle.
of,demoted_common,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,5,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,Repo.SeungeFlow is the formation field of the structure principle.
the,demoted_common,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,5,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,Repo.SeungeFlow is the formation field of the structure principle.
structure,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,5,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,Repo.SeungeFlow is the formation field of the structure principle.
principle.,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,5,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,Repo.SeungeFlow is the formation field of the structure principle.
Repo.9Dot0,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,6,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,Repo.9Dot0 is the realization field of the structure principle.
is,demoted_common,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,6,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,Repo.9Dot0 is the realization field of the structure principle.
the,demoted_common,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,6,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,Repo.9Dot0 is the realization field of the structure principle.
realization,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,6,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,Repo.9Dot0 is the realization field of the structure principle.
field,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,6,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,Repo.9Dot0 is the realization field of the structure principle.
of,demoted_common,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,6,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,Repo.9Dot0 is the realization field of the structure principle.
the,demoted_common,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,6,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,Repo.9Dot0 is the realization field of the structure principle.
structure,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,6,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,Repo.9Dot0 is the realization field of the structure principle.
principle.,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,6,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,Repo.9Dot0 is the realization field of the structure principle.
Core,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,8,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,## Core Principle
Principle,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,8,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,## Core Principle
9dot0,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,10,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,9dot0 is the structure in which an internal endpoint crosses dot and becomes an external starting point.
is,demoted_common,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,10,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,9dot0 is the structure in which an internal endpoint crosses dot and becomes an external starting point.
the,demoted_common,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,10,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,9dot0 is the structure in which an internal endpoint crosses dot and becomes an external starting point.
structure,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,10,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,9dot0 is the structure in which an internal endpoint crosses dot and becomes an external starting point.
in,demoted_common,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,10,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,9dot0 is the structure in which an internal endpoint crosses dot and becomes an external starting point.
which,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,10,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,9dot0 is the structure in which an internal endpoint crosses dot and becomes an external starting point.
an,demoted_common,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,10,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,9dot0 is the structure in which an internal endpoint crosses dot and becomes an external starting point.
internal,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,10,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,9dot0 is the structure in which an internal endpoint crosses dot and becomes an external starting point.
endpoint,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,10,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,9dot0 is the structure in which an internal endpoint crosses dot and becomes an external starting point.
crosses,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,10,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,9dot0 is the structure in which an internal endpoint crosses dot and becomes an external starting point.
dot,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,10,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,9dot0 is the structure in which an internal endpoint crosses dot and becomes an external starting point.
and,demoted_common,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,10,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,9dot0 is the structure in which an internal endpoint crosses dot and becomes an external starting point.
becomes,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,10,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,9dot0 is the structure in which an internal endpoint crosses dot and becomes an external starting point.
an,demoted_common,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,10,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,9dot0 is the structure in which an internal endpoint crosses dot and becomes an external starting point.
external,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,10,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,9dot0 is the structure in which an internal endpoint crosses dot and becomes an external starting point.
starting,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,10,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,9dot0 is the structure in which an internal endpoint crosses dot and becomes an external starting point.
point.,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,10,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,9dot0 is the structure in which an internal endpoint crosses dot and becomes an external starting point.
C,demoted_common,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,12,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,"C=(m,t,p,?) is not a calculation formula."
m,demoted_common,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,12,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,"C=(m,t,p,?) is not a calculation formula."
t,demoted_common,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,12,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,"C=(m,t,p,?) is not a calculation formula."
p,demoted_common,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,12,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,"C=(m,t,p,?) is not a calculation formula."
is,demoted_common,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,12,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,"C=(m,t,p,?) is not a calculation formula."
not,demoted_common,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,12,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,"C=(m,t,p,?) is not a calculation formula."
a,demoted_common,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,12,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,"C=(m,t,p,?) is not a calculation formula."
calculation,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,12,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,"C=(m,t,p,?) is not a calculation formula."
formula.,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,12,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,"C=(m,t,p,?) is not a calculation formula."
It,demoted_common,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,13,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,It is a structural placement formula that separates:
is,demoted_common,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,13,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,It is a structural placement formula that separates:
a,demoted_common,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,13,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,It is a structural placement formula that separates:
structural,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,13,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,It is a structural placement formula that separates:
placement,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,13,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,It is a structural placement formula that separates:
formula,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,13,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,It is a structural placement formula that separates:
that,demoted_common,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,13,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,It is a structural placement formula that separates:
separates,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,13,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,It is a structural placement formula that separates:
m,demoted_common,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,15,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,- m: existent / object / relation-bearing unit
existent,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,15,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,- m: existent / object / relation-bearing unit
object,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,15,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,- m: existent / object / relation-bearing unit
relation-bearing,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,15,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,- m: existent / object / relation-bearing unit
unit,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,15,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,- m: existent / object / relation-bearing unit
t,demoted_common,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,16,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,- t: transition / difference / direction change / distance gap
transition,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,16,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,- t: transition / difference / direction change / distance gap
difference,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,16,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,- t: transition / difference / direction change / distance gap
direction,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,16,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,- t: transition / difference / direction change / distance gap
change,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,16,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,- t: transition / difference / direction change / distance gap
distance,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,16,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,- t: transition / difference / direction change / distance gap
gap,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,16,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,- t: transition / difference / direction change / distance gap
p,demoted_common,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,17,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,- p: place / position / field
place,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,17,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,- p: place / position / field
position,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,17,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,- p: place / position / field
field,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,17,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,- p: place / position / field
observation,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,18,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,- ?: observation criterion / boundary question / pre-definition
criterion,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,18,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,- ?: observation criterion / boundary question / pre-definition
boundary,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,18,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,- ?: observation criterion / boundary question / pre-definition
question,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,18,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,- ?: observation criterion / boundary question / pre-definition
pre-definition,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,18,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,- ?: observation criterion / boundary question / pre-definition
