term,repo,branch,commit,path,line_no,role,raw_url,context
Repo.SeungeFlow,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,5,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,Repo.SeungeFlow is the formation field of the structure principle.
formation,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,5,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,Repo.SeungeFlow is the formation field of the structure principle.
field,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,5,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,Repo.SeungeFlow is the formation field of the structure principle.
structure,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,5,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,Repo.SeungeFlow is the formation field of the structure principle.
principle.,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,5,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,Repo.SeungeFlow is the formation field of the structure principle.
Repo.9Dot0,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,6,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,Repo.9Dot0 is the realization field of the structure principle.
realization,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,6,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,Repo.9Dot0 is the realization field of the structure principle.
field,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,6,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,Repo.9Dot0 is the realization field of the structure principle.
structure,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,6,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,Repo.9Dot0 is the realization field of the structure principle.
principle.,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,6,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,Repo.9Dot0 is the realization field of the structure principle.
Core,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,8,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,## Core Principle
Principle,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,8,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,## Core Principle
9dot0,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,10,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,9dot0 is the structure in which an internal endpoint crosses dot and becomes an external starting point.
structure,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,10,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,9dot0 is the structure in which an internal endpoint crosses dot and becomes an external starting point.
which,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,10,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,9dot0 is the structure in which an internal endpoint crosses dot and becomes an external starting point.
internal,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,10,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,9dot0 is the structure in which an internal endpoint crosses dot and becomes an external starting point.
endpoint,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,10,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,9dot0 is the structure in which an internal endpoint crosses dot and becomes an external starting point.
crosses,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,10,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,9dot0 is the structure in which an internal endpoint crosses dot and becomes an external starting point.
dot,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,10,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,9dot0 is the structure in which an internal endpoint crosses dot and becomes an external starting point.
becomes,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,10,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,9dot0 is the structure in which an internal endpoint crosses dot and becomes an external starting point.
external,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,10,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,9dot0 is the structure in which an internal endpoint crosses dot and becomes an external starting point.
starting,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,10,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,9dot0 is the structure in which an internal endpoint crosses dot and becomes an external starting point.
point.,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,10,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,9dot0 is the structure in which an internal endpoint crosses dot and becomes an external starting point.
calculation,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,12,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,"C=(m,t,p,?) is not a calculation formula."
formula.,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,12,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,"C=(m,t,p,?) is not a calculation formula."
It,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,13,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,It is a structural placement formula that separates:
structural,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,13,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,It is a structural placement formula that separates:
placement,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,13,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,It is a structural placement formula that separates:
formula,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,13,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,It is a structural placement formula that separates:
separates,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,13,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,It is a structural placement formula that separates:
existent,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,15,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,- m: existent / object / relation-bearing unit
object,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,15,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,- m: existent / object / relation-bearing unit
relation-bearing,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,15,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,- m: existent / object / relation-bearing unit
unit,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,15,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,- m: existent / object / relation-bearing unit
transition,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,16,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,- t: transition / difference / direction change / distance gap
difference,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,16,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,- t: transition / difference / direction change / distance gap
direction,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,16,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,- t: transition / difference / direction change / distance gap
change,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,16,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,- t: transition / difference / direction change / distance gap
distance,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,16,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,- t: transition / difference / direction change / distance gap
gap,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,16,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,- t: transition / difference / direction change / distance gap
place,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,17,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,- p: place / position / field
position,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,17,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,- p: place / position / field
field,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,17,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,- p: place / position / field
observation,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,18,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,- ?: observation criterion / boundary question / pre-definition
criterion,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,18,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,- ?: observation criterion / boundary question / pre-definition
boundary,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,18,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,- ?: observation criterion / boundary question / pre-definition
question,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,18,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,- ?: observation criterion / boundary question / pre-definition
pre-definition,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,18,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,- ?: observation criterion / boundary question / pre-definition
Structure,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,20,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,## Structure Definition
Definition,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,20,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,## Structure Definition
Structure,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,22,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,Structure exists wherever there is:
exists,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,22,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,Structure exists wherever there is:
wherever,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,22,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,Structure exists wherever there is:
there,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,22,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,Structure exists wherever there is:
existence,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,24,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,- existence
position,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,25,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,- position
relation,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,26,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,- relation
field,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,27,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,- field formation
formation,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,27,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,- field formation
AI,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,29,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,AI is structure.
structure.,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,29,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,AI is structure.
Human,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,30,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,Human is structure.
structure.,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,30,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,Human is structure.
Computer,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,31,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,Computer is structure.
structure.,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,31,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,Computer is structure.
Sea,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,32,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,Sea is structure.
structure.,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,32,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,Sea is structure.
Universe,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,33,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,Universe is structure.
structure.,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,33,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,Universe is structure.
Branch,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,35,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,## Branch Fields
Fields,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,35,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,## Branch Fields
branch.market,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,37,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,### branch.market
Capital,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,39,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,Capital market field.
market,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,39,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,Capital market field.
field.,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,39,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,Capital market field.
Scope,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,41,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,Scope:
overseas,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,42,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,- overseas futures
futures,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,42,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,- overseas futures
profit-taking,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,43,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,- profit-taking transaction
transaction,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,43,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,- profit-taking transaction
price,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,44,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,- price
time,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,45,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,- time
risk,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,46,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,- risk
entry,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,47,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,- entry
exit,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,48,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,- exit
branch.sohosa,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,50,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,### branch.sohosa
Sohosa,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,52,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,Sohosa / Hyangsa field.
Hyangsa,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,52,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,Sohosa / Hyangsa field.
field.,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,52,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,Sohosa / Hyangsa field.
